#,User,Symbol,Created At,Updated At,Side,Type,Qty,Dir,Price,Trigger Conditions,Filled Price,Notional,Realized PnL,Commission,Commission Asset,Status,Algo ID,Order ID,ErrorMessage
1,Will,BTCUSDC,"08/15/2026, 14:54:28","08/15/2026, 14:55:08",SELL,Limit,0.01,Open,63047.9,,63047.9,630.48,,0,USDC,FILLED,,71061676619,
2,Will,BTCUSDC,"08/15/2026, 14:30:29","08/15/2026, 14:47:59",SELL,Limit,0.01,Open,62991.8,,62991.8,629.92,,0,USDC,FILLED,,71059756878,
3,Will,BTCUSDC,"08/15/2026, 12:53:53","08/15/2026, 13:01:01",SELL,Limit,0.01,Open,63044.7,,63044.7,630.45,,0,USDC,FILLED,,71052763705,
4,Will,BTCUSDC,"08/15/2026, 12:53:48","08/15/2026, 12:53:51",BUY,Market,0.01,Close,Market,,63039.4,630.39,-0.01,0.2521576,USDC,FILLED,,71052761723,
5,Will,BTCUSDC,"08/15/2026, 12:53:09","08/15/2026, 12:53:46",SELL,Limit,0.01,Open,63038.4,,63038.4,630.38,,0,USDC,FILLED,,71052674696,
6,Will,BTCUSDC,"08/15/2026, 12:18:45","08/15/2026, 12:35:38",SELL,Limit,0.01,Close,63050,,63050,630.5,0.67299999,0,USDC,FILLED,,71050641885,
7,Will,BTCUSDC,"08/15/2026, 11:38:01","08/15/2026, 11:38:02",BUY,Limit,0.01,Open,62982.7,,62982.7,629.83,,0,USDC,FILLED,,71048226918,
8,Will,BTCUSDC,"08/15/2026, 09:13:04","08/15/2026, 10:17:35",BUY,Stop Market,0.01,Close,Market,"Last Price >= 63,000.0",63002.9,630.03,-0.587,0.2520116,USDC,FILLED,1000002507670885,71043107303,
9,Will,BTCUSDC,"08/15/2026, 09:09:59","08/15/2026, 09:12:27",SELL,Limit,0.01,Open,62944.2,,62944.2,629.44,,0,USDC,FILLED,,71038463912,
10,Will,BTCUSDC,"08/14/2026, 23:34:54","08/14/2026, 23:34:57",BUY,Market,0.02,Close,Market,,62818.2,1256.36,-1.613,0.5025456,USDC,FILLED,,70985294507,
11,Will,BTCUSDC,"08/14/2026, 23:33:03","08/14/2026, 23:33:20",SELL,Limit,0.01,Open,62743.1,,62743.1,627.43,,0,USDC,FILLED,,70985037078,
12,Will,BTCUSDC,"08/14/2026, 23:33:08","08/14/2026, 23:33:08",SELL,Limit,0.01,Open,62732,,62732,627.32,,0,USDC,FILLED,,70985048745,
13,Will,BTCUSDC,"08/14/2026, 23:30:04","08/14/2026, 23:30:07",BUY,Market,0.03,Close,Market,,62787.3,1883.62,-5.762,0.7534476,USDC,FILLED,,70984646122,
