#,用户,交易对,创建时间,成交时间,方向,类型,数量,开平,价格,触发条件,成交价,名义价值,已实现盈亏,手续费,手续费币种,状态,Algo ID,订单号,ErrorMessage
1,Will,BTCUSDC,"09/05/2026, 00:36:27","09/05/2026, 00:36:27",买入,LIQUIDATION,0.04,平仓,80092.7,,79778.6,3191.14,-38.842,0,USDC,已成交,,74435912533,
2,Will,BTCUSDC,"09/04/2026, 22:53:35","09/04/2026, 22:55:39",卖出,限价,0.02,开仓,78872.6,,78872.6,1577.45,,0,USDC,已成交,,74421112640,
3,Will,BTCUSDC,"09/04/2026, 22:48:59","09/04/2026, 22:48:59",卖出,市价,0.02,开仓,市价,,78742.5,1574.85,,0.62993998,USDC,已成交,,74420145173,
4,Will,BTCUSDC,"09/04/2026, 22:45:30","09/04/2026, 22:45:30",买入,市价,0.02,平仓,市价,,79084.2,1581.68,9.046,0.63267359,USDC,已成交,,74419415805,
5,Will,BTCUSDC,"09/04/2026, 21:51:05","09/04/2026, 21:51:05",卖出,限价,0.02,开仓,79536.5,,79536.5,1590.73,,0,USDC,已成交,,74409096234,
6,Will,BTCUSDC,"09/04/2026, 20:30:06","09/04/2026, 20:30:06",卖出,市价,0.02,平仓,市价,,80747.32,1614.95,-10.9416,0.64597855,USDC,已成交,,74393010220,
7,Will,BTCUSDC,"09/04/2026, 20:29:45","09/04/2026, 20:29:45",买入,市价,0.02,开仓,市价,,81294.4,1625.89,,0.6503552,USDC,已成交,,74392952626,
8,Will,BTCUSDC,"09/04/2026, 19:29:28","09/04/2026, 19:29:28",买入,市价,0.02,平仓,市价,,81373.7,1627.47,-2.066,0.65098959,USDC,已成交,,74384714513,
9,Will,BTCUSDC,"09/04/2026, 19:23:06","09/04/2026, 19:26:42",卖出,限价,0.02,开仓,81270.4,,81270.4,1625.41,,0,USDC,已成交,,74383910340,
10,Will,BTCUSDC,"09/04/2026, 18:00:59","09/04/2026, 18:03:04",卖出,限价,0.02,平仓,81060,,81060,1621.2,0.18599999,0,USDC,已成交,,74372555281,
11,Will,BTCUSDC,"09/04/2026, 17:55:20","09/04/2026, 17:58:04",买入,限价,0.02,开仓,81050.7,,81050.7,1621.01,,0,USDC,已成交,,74371606013,
12,Will,BTCUSDC,"09/04/2026, 17:53:51","09/04/2026, 17:54:02",卖出,限价,0.02,平仓,81018.2,,81018.2,1620.36,-1.1432,0,USDC,已成交,,74371365401,
13,Will,BTCUSDC,"09/04/2026, 17:32:42","09/04/2026, 17:32:42",买入,市价,0.02,开仓,市价,,81075.36,1621.51,,0.64860288,USDC,已成交,,74367976664,
14,Will,BTCUSDC,"09/04/2026, 17:24:32","09/04/2026, 17:24:32",卖出,市价,0.04,平仓,市价,,80950.3,3238.01,11.57,1.2952048,USDC,已成交,,74366687116,
15,Will,BTCUSDC,"09/04/2026, 16:08:54","09/04/2026, 16:09:06",买入,限价,0.02,开仓,80665.8,,80665.8,1613.32,,0,USDC,已成交,,74354296336,
16,Will,BTCUSDC,"09/04/2026, 16:06:44","09/04/2026, 16:07:03",买入,限价,0.02,开仓,80656.3,,80656.3,1613.13,,0,USDC,已成交,,74354086233,
17,Will,BTCUSDC,"09/04/2026, 15:39:10","09/04/2026, 15:39:13",卖出,限价,0.02,平仓,80724.6,,80724.6,1614.49,1.242,0,USDC,已成交,,74351102351,
18,Will,BTCUSDC,"09/04/2026, 14:43:48","09/04/2026, 14:52:36",买入,限价,0.02,开仓,80662.5,,80662.5,1613.25,,0,USDC,已成交,,74344268640,
19,Will,BTCUSDC,"09/04/2026, 12:40:16","09/04/2026, 13:30:19",卖出,止损市价,0.04,平仓,市价,"最新价 <= 80,905.0",80904.29,3236.17,-0.04839992,1.29446862,USDC,已成交,1000002544461982,74333538561,
