#,开仓时间,平仓时间,交易对,方向,持仓方式,数量,开仓均价,平仓价格,已实现盈亏,手续费,手续费币种,净盈亏,计划止损价,初始风险（USDC）,MFE 最大浮盈,MAE 最大浮亏,MFE（R）,MAE（R）,净盈亏（R）,盈利兑现率,盈利回撤（USDC）,指标计算状态,开仓订单编号,平仓订单编号
1,2026/09/11 21:52:24,2026/09/11 23:51:10,BTCUSDC,多,双向,0.03,78649.8,78339.1,-9.321,1.2551352,USDC,-10.5761352,78368,8.454,12.387,10.5761352,1.465223563,1.251021434,-1.251021434,0.00%,22.9631352,CALCULATED,"[75622716738,75633107944,75635181219]",[1000002558131097]
2,2026/09/11 20:33:23,2026/09/11 20:34:37,BTCUSDC,空,双向,0.01,76789.5,77200,-4.105,0.3088,USDC,-4.4138,,,1.882,4.4138,,,,0.00%,6.2958,CALCULATED,[75605783705],[75606132073]
3,2026/09/11 20:30:06,2026/09/11 20:30:33,BTCUSDC,空,双向,0.01,76637.1,76347.3,2.898,0.6119376,USDC,2.2860624,,,2.5914516,0.3065484,,,,88.22%,0.3053892,CALCULATED,[75605156413],[75605253954]
4,2026/09/11 20:06:20,2026/09/11 20:22:59,BTCUSDC,空,双向,0.02,76940.7,76951.1,-0.208,0.6155256,USDC,-0.8235256,77077,2.726,1.5304744,2.3415256,0.56143595,0.858960235,-0.302100367,0.00%,2.354,CALCULATED,[75600363554],[75603755686]
5,2026/09/11 18:04:08,2026/09/11 19:46:42,BTCUSDC,空,双向,0.02,77078.6,76932.005,2.9319,0.61545604,USDC,2.31644396,77231,3.048,7.812,0.772,2.562992126,0.25328084,0.759988176,29.65%,5.49555604,CALCULATED,[75583881444],[1000002557498390]
6,2026/09/11 16:56:09,2026/09/11 17:45:00,BTCUSDC,空,双向,0.02,77294.2,76917.3,7.538,0.61533839,USDC,6.92266161,77447,3.056,9.79,0.554,3.203534031,0.181282722,2.265268851,70.71%,2.86733839,CALCULATED,[75576604551],[75581681157]
7,2026/09/11 16:24:16,2026/09/11 16:31:13,BTCUSDC,空,双向,0.02,77322.3,77415.73,-1.8686,0.61932584,USDC,-2.48792584,77415,1.854,1.986,2.48792584,1.071197411,1.341923323,-1.341923323,0.00%,4.47392584,CALCULATED,[75572590304],[1000002557273940]
8,2026/09/11 16:05:40,2026/09/11 16:15:34,BTCUSDC,空,双向,0.02,77112.4,77161.8,-0.98799999,1.2341936,USDC,-2.22219359,77120.6,0.164,0.0911008,2.22219359,0.555492683,13.54996091,-13.54996091,0.00%,2.31329439,CALCULATED,[75571629160],[75572315208]
9,2026/09/11 15:21:03,2026/09/11 15:26:51,BTCUSDC,空,双向,0.02,77297.6,77275.2,0.448,0.6182016,USDC,-0.1702016,77384,1.728,1.12,1.238,0.648148148,0.716435185,-0.098496296,0.00%,1.2902016,CALCULATED,[75568580640],[75569381056]
10,2026/09/11 07:04:11,2026/09/11 12:41:23,BTCUSDC,多,双向,0.02,76735.6,77060.3,6.494,0,USDC,6.494,76399,6.732,8.188,6.712,1.216280452,0.997029115,0.964646465,79.31%,1.694,CALCULATED,[75507395633],[75553006327]
11,2026/09/10 22:32:38,2026/09/11 00:08:57,BTCUSDC,多,双向,0.02,77216.5,76901.1,-6.308,0.6152088,USDC,-6.9232088,76900,6.33,3.27,6.9232088,0.516587678,1.093713871,-1.093713871,0.00%,10.1932088,CALCULATED,[75439896975],[1000002556071518]
12,2026/09/10 16:34:19,2026/09/10 17:09:47,BTCUSDC,空,双向,0.02,78073.2,78070,0.06399999,0,USDC,0.06399999,78184,2.216,1.36,1.744,0.613718412,0.78700361,0.028880862,4.71%,1.29600001,CALCULATED,[75388893881],[75392811493]
13,2026/09/10 15:55:40,2026/09/10 16:25:47,BTCUSDC,空,双向,0.02,78063.7,78107.8,-0.882,0.6245096,USDC,-1.5065096,78190,2.526,1.0334904,1.5845096,0.409141093,0.627280127,-0.596401267,0.00%,2.54,CALCULATED,[75384946165],[75387633377]
14,2026/09/10 14:28:11,2026/09/10 15:21:31,BTCUSDC,多,双向,0.02,78157.5,78061.6,-1.918,0.62449279,USDC,-2.54249279,78078,1.59,6.438,2.54249279,4.049056604,1.599052069,-1.599052069,0.00%,8.98049279,CALCULATED,[75373585741],[1000002555291106]
15,2026/09/10 12:38:03,2026/09/10 14:16:17,BTCUSDC,多,双向,0.02,78309.3,78191.59,-2.3542,0.62553272,USDC,-2.97973272,78078,4.626,4.424,2.97973272,0.956333766,0.644127263,-0.644127263,0.00%,7.40373272,CALCULATED,[75360202058],[1000002555272168]
16,2026/09/10 11:47:48,2026/09/10 11:55:24,BTCUSDC,多,双向,0.02,78361.3,78253.9,-2.148,1.2529216,USDC,-3.4009216,78254,2.146,0.2911096,3.4009216,0.13565219,1.584772414,-1.584772414,0.00%,3.6920312,CALCULATED,[75355601747],[1000002555122007]
17,2026/09/10 10:18:17,2026/09/10 11:03:05,BTCUSDC,多,双向,0.02,77961.7,78420,9.166,0,USDC,9.166,77711,5.014,9.166,0.938,1.828081372,0.187076187,1.828081372,100.00%,0,CALCULATED,[75345261604],[75349859017]
18,2026/09/10 07:22:55,2026/09/10 08:53:40,BTCUSDC,多,双向,0.02,78064.2,78083.4,0.384,0.6246672,USDC,-0.2406672,77850,4.284,5.516,0.328,1.287581699,0.076563959,-0.056178151,0.00%,5.7566672,CALCULATED,[75322143530],[75333054767]
19,2026/09/09 23:45:56,2026/09/10 00:04:15,BTCUSDC,空,双向,0.02,78559.2,78717,-3.156,1.25820959,USDC,-4.41420959,78717,3.156,0.4155264,4.41420959,0.131662357,1.39867224,-1.39867224,0.00%,4.82973599,CALCULATED,[75261205294],[1000002554153337]
20,2026/09/09 23:29:07,2026/09/09 23:39:30,BTCUSDC,多,双向,0.02,78350,78554.8,4.096,1.25523839,USDC,2.84076161,,,5.4732,1.7488,,,,51.90%,2.63243839,CALCULATED,[75258389773],[75260329891]
21,2026/09/09 23:16:42,2026/09/09 23:22:00,BTCUSDC,多,双向,0.02,78539.9,78200,-6.798,0.6256,USDC,-7.4236,78224,6.318,0.966,7.798,0.152896486,1.234251345,-1.174992086,0.00%,8.3896,CALCULATED,[75256196449],[1000002554081276]
22,2026/09/09 22:40:47,2026/09/09 23:07:14,BTCUSDC,空,双向,0.02,79182.8,78475,14.156,0.6334624,USDC,13.5225376,79381,3.964,13.5225376,4.2294624,3.411336428,1.066968315,3.411336428,100.00%,0,CALCULATED,[75249312098],[75250017797]
23,2026/09/09 22:34:19,2026/09/09 22:40:12,BTCUSDC,多,双向,0.02,79238.4,79204.85,-0.671,1.267546,USDC,-1.938546,79058,3.608,2.2140928,1.938546,0.613662084,0.53729102,-0.53729102,0.00%,4.1526388,CALCULATED,[75248339386],[75249299591]
24,2026/09/09 22:02:47,2026/09/09 22:32:03,BTCUSDC,空,双向,0.02,78960.2,79255.825,-5.9125,0.63404657,USDC,-6.54654657,79167,4.136,2.602,6.54654657,0.629110251,1.582820737,-1.582820737,0.00%,9.14854657,CALCULATED,[75242341456],[1000002553957484]
