#,开仓时间,平仓时间,交易对,方向,持仓方式,数量,开仓均价,平仓价格,已实现盈亏,手续费,手续费币种,净盈亏,计划止损价,初始风险（USDC）,MFE 最大浮盈,MAE 最大浮亏,MFE（R）,MAE（R）,净盈亏（R）,盈利兑现率,盈利回撤（USDC）,指标计算状态,开仓订单编号,平仓订单编号,复盘：市场状态,复盘：Setup 名称,复盘：Setup 情景,复盘：入场依据,复盘：信号 K 和入场触发方式,复盘：A/B/C 级机会,复盘：评估胜率,复盘：第一目标价,复盘：计划盈亏比,复盘：期望值（R）,复盘：机会分数,复盘：是否计划内交易,复盘：第二次入场时首仓盈亏,复盘：计划止损价,复盘：实际止损成交价,复盘：第一目标,复盘：结构目标,复盘：最终退出理由,复盘：冷静期 / 停手机制
1,2026/09/19 09:45:18,2026/09/19 17:08:12,BTCUSDC,空,双向,0.01,81170.2,81430,-2.598,0.32571999,USDC,-2.92371999,81406,2.358,3.027,2.92371999,1.283715013,1.239915178,-1.239915178,0.00%,5.95071999,CALCULATED,[76752833597],[1000002572465540],高潮 / 反转,其他,,连续大阴线后，第一次反弹大概率失败，并且前面刚经历的购买高潮,,B,50%,80698.6,2,0.5,62.5,是,,81406,,,,向下形成双底后，连续向上反弹，这里双底过程中就应该提前离场，这里等不到最初的2R止盈位置了，盈利变成亏损有些可惜。,
2,2026/09/19 01:23:25,2026/09/19 01:40:13,BTCUSDC,空,双向,0.01,80645.3,80630.9,0.14399999,0.3225812,USDC,-0.17858121,80895,2.497,1.0004188,1.4085812,0.400648298,0.564109411,-0.071518306,0.00%,1.17900001,CALCULATED,[76708326811],[76709796761],区间,其他,,连续阴线，预期继续回调,,B,50%,80145.9,2,0.5,62.5,是,,80895,,,,连续阳线，提前止盈离场，这里是典型的急速与通道行情，只能在回调时候做多，做空都是挂头皮操作，做空是没有太多空间的。,
3,2026/09/19 01:16:31,2026/09/19 01:23:22,BTCUSDC,多,双向,0.01,80846.4,80650,-1.964,0.32259994,USDC,-2.28659994,80433,,0.479,2.28659994,,,,0.00%,2.76559994,CALCULATED,[76707554235],[76708320432],区间,其他,,预期回调完成，继续回到上涨通道,,B,50%,81673.2,2,0.5,62.5,是,,80433,,,,连续阴线，不符合回到上涨通道预期，提前止损离场,
4,2026/09/19 01:12:30,2026/09/19 01:14:30,BTCUSDC,空,双向,0.01,80710.8,80829.7,-1.189,0.646162,USDC,-1.835162,81219,,0,1.835162,,,,,1.835162,CALCULATED,[76706774418],[76707417756],区间,其他,,继续向下第二推回调,,B,50%,79694.4,2,0.5,62.5,,,81219,,,,出现了向下突破失败，开始形成了阳线，提前离场,
5,2026/09/18 23:02:12,2026/09/19 01:06:40,BTCUSDC,多,双向,0.01,80829.8,80823.9,-0.05899999,0.3232956,USDC,-0.38229559,80035,7.948,3.887,3.959,0.48905385,0.498112733,-0.048099596,0.00%,4.26929559,CALCULATED,[76692710498],[76706611605],区间,上涨牛旗 / 下跌熊旗（Bull Flag / Bear Flag）,强趋势顺势延续,上涨牛旗，趋势延续,,B,60%,82419.4,2,0.8,70,是,,80035,,,,担心三推到顶，向上通道已经结束，其实结合这么强力突破行情来看，向上通道时间不应该这么短，空间不应该这么少，后续的走势也验证了这样的情况，主要还是一连串的失败交易造成了心态的失衡，造成决策不在自信,
6,2026/09/18 21:51:56,2026/09/18 22:18:40,BTCUSDC,多,双向,0.01,80315.9,80499.9,1.84,0.3212636,USDC,1.5187364,79136,,2.0487364,5.4372636,,,,74.13%,0.53,CALCULATED,[76682569589],[76686420245],趋势,急速与通道（Spike and Channel）,急速后首次小回调顺势突破,急速突破，市价追，多头强势，趋势继续延续,,B,60%,82675.7,2,0.8,70,是,,79136,,,,入场位置偏高，担心会向下更多的调整，提前止盈离场,
7,2026/09/18 19:05:57,2026/09/18 21:38:05,BTCUSDC,空,双向,0.01,78088,78418.4,-3.304,0.6260256,USDC,-3.9300256,78395,3.07,1.904648,3.9300256,0.620406515,1.280138632,-1.280138632,0.00%,5.8346736,CALCULATED,[76664011195],[1000002570738169],高潮 / 反转,双 K 线反转（Two-Bar Reversal）,普通逆势反转,向下突破大阴线,5m | #486 | 2026/09/18 19:05:00,C,40%,77474,2,0.2,55,是,,78395,,,,在横盘调整后，向上强力突破止损,
8,2026/09/18 17:05:41,2026/09/18 18:29:04,BTCUSDC,空,双向,0.01,78256.5,78184,0.725,0.312736,USDC,0.412264,78400,1.435,3.398,1.379,2.367944251,0.96097561,0.287291986,12.13%,2.985736,CALCULATED,[76652206459],[1000002570617262],高潮 / 反转,三推楔形反转（Wedge Reversal / 3-Push）,小幅反转 / 两段调整,购买高潮,,A,75%,77969.5,2,1.25,81.25,是,,78400,,,,向下突破ema20失败后，继续沿着ema20向上，提前止盈离场,
9,2026/09/18 16:01:45,2026/09/18 16:58:15,BTCUSDC,空,双向,0.02,77735.05,78102.895,-7.3569,0.93552115,USDC,-8.29242115,78000,5.299,2.299,8.29242115,0.433855444,1.564903029,-1.564903029,0.00%,10.59142115,CALCULATED,"[76644912634,76646397373]",[1000002570486998],区间,其他,,长上影，购买高潮迹象,,B,50%,77205.15,2,0.5,62.5,是,盈利,78000,,,,三角形态，最后向上突破，被止损,
10,2026/09/18 15:09:24,2026/09/18 15:22:09,BTCUSDC,空,双向,0.02,77540.6,77729,-3.768,0.931872,USDC,-4.699872,77720,3.588,0.23796,4.699872,0.06632107,1.309886288,-1.309886288,0.00%,4.937832,CALCULATED,"[76640750165,76640726753]",[1000002570405163],高潮 / 反转,II 形态（Inside-Inside）,首次突破,购买高潮，反转，II形态，,5m | #499 | 2026/09/18 15:05:00,B,50%,77181.8,2,0.5,62.5,是,亏损,77720,,,,II形态，最后向上突破了，这里还是之前的那根向上突破的K线太强势了，这里多头始终掌控局面，关键时候总能反转向上。,
